,0,1,2,3,4,5,6,7
0,"7,3",67%,Jaret Martino,Jaret MartinoAlexa Petito,"A middle school student is forced to move schools after horrific bullying, despite processing grief and making a huge transition she's able to clear the way for a brighter future.",Corto,13min,The Worst Day of My Life
1,"5,4",95%,Ilker Savaskurt,Mehmet Kala,"A quirky receptionist in a hotel in Istanbul welcomes guests as they tumble upon their daily struggles, all to end up in a mix of chaos and dread after the arrival of a mysterious man who declares that he is their patron Saint.","Drama
Misterio
Suspense",1h 49min,Reflection
2,"5,9",20%,A.L. Vijay,Vijayendra Prasad,A biopic on the late Tamil Nadu Chief Minister J Jayalalithaa.,"Biografía
Drama",2h 33min,Thalaivi
3,"6,7",84%,Gil Kenan,Ol Parker,"En esta historia sobre el origen de Papá Noel, un niño corriente emprende una aventura extraordinaria para encontrar a su padre, entregado a la búsqueda de la legendaria aldea de Elfhelm.","Aventura
Drama
Familiar",1h 46min,El chico que salvó la Navidad
4,"5,7",48%,Ferdinando Cito Filomarino,Kevin A. Rice,"Después de un fatídico accidente de tráfico en Grecia, el turista estadounidense Beckett debe darse a la fuga para evitar que lo maten, pues se ha visto implicado en una peligrosa conspiración política.","Acción
Crimen
Drama",1h 50min,Beckett
5,"7,2",93%,Juho Kuosmanen,Rosa Liksom,"Mientras un tren se dirige al Círculo Polar Ártico, dos extraños comparten un viaje que les cambiará su perspectiva de la vida.","Drama
Romance",1h 47min,Compartimento nº 6
6,"5,9",100%,Urenna Amadi,Amadi Chris,"Even in this contemporary world, modernized slavery is still the order of the day. People voluntarily work for pay but end up receiving hatred, humiliation, denial, and hardship. However, time has got its ways of healing all wounds.",Drama,1h 21min,Not a Slave
7,"8,4",95%,Shoojit Sircar,Shubhendu Bhattacharya,"Un viaje biográfico que describe en detalle las dos décadas que pasó el revolucionario, Sij Punjabi Udham Singh, planeando el asesinato del hombre responsable de la masacre de Jallianwala Bagh.","Biografía
Crimen
Drama",2h 44min,Sardar Udham
8,"6,8",94%,Jane Campion,Jane Campion,"El carismático ranchero Phil Burbank inspira temor y asombro en quienes lo rodean. Cuando su hermano trae a casa una nueva esposa y su hijo, Phil los atormenta hasta que se ve expuesto a la posibilidad del amor.","Drama
Del oeste",2h 6min,El poder del perro
9,"8,8",100%,M. Manikandan,M. Manikandan,The last active farmer in a remote village tries to hold out against a property developer.,Drama,2h 2min,Kadaisi Vivasayi
10,"5,9",81%,Harry Wootliff,Harry Wootliff,Sigue a una joven que vive al margen de la sociedad y que se deja embriagar por un desconocido que anula su tranquila vida.,Drama,1h 42min,True Things
11,"6,2",0%,Rumi Jaffery,Rumi Jaffery,"Un octogenario tiene la afición por los juegos de la vida real sobre aciertos y errores. Un vistazo a las decisiones que uno toma a lo largo de su vida y el hecho de que cada decisión tiene sus repercusiones, su audiencia y su juicio.","Drama
Misterio
Suspense",2h 19min,Chehre
12,"5,9",29%,Michael Mailer,Vojin Gjaja,"Durante su último año en una universidad de la Ivy League en 1999, la vida de un grupo de amigos y compañeros de equipo cambia para siempre cuando un veterinario del ejército asume el cargo de entrenador de su disfuncional equipo de remo.","Drama
Deporte",1h 59min,Heart of Champions
13,"5,2",37%,Darren Lynn Bousman,Josh Stolberg,Una mente sádica da rienda suelta a una forma retorcida de justicia; el aterrador nuevo capítulo del Libro de Saw.,"Terror
Misterio
Suspense",1h 33min,Spiral. Saw
14,"6,3",67%,Ben Sombogaart,Marian Batavier,"Las memorias de la amiga de Ana Frank, Hannah Goslar.",Drama,1h 43min,Mi gran amiga Ana Frank
15,"8,0",94%,Sian Heder,Sian Heder,"Como hija de adultos sordos, Ruby es la única persona oyente en su familia. Cuando el negocio pesquero de la familia se ve amenazado, Ruby se encuentra dividida entre perseguir su amor por la música y su miedo a abandonar a sus padres.","Comedia
Drama
Música",1h 51min,CODA: Los sonidos del silencio
16,"6,8",95%,Jan Verheyen,Lien Willaert,"William and Olga are given the shock diagnosis that their only daughter Sandra (6) has MLD, a rare muscular disease. She has roughly one year to live. As the family's world crumbles, the father refuses to give up hope and starts a fierce battle against the pharma industry.",Drama,1h 47min,Red Sandra
17,"5,3",57%,Alejandro Hidalgo,Alejandro Hidalgo,Un sacerdote estadounidense que trabaja en México es poseído durante un exorcismo y termina cometiendo un acto terrible.,"Drama
Terror",1h 38min,El exorcismo de Dios
18,"6,2",49%,Martin Bourboulon,Caroline Bongrand,"El gobierno le está pidiendo a Eiffel que diseñe algo espectacular para la Exposición Universal de París de 1889, pero Eiffel simplemente quiere diseñar el metro.","Biografía
Drama
Historia",1h 48min,Eiffel
19,"4,1",100%,Clayton Scott,Clayton Scott,"En Skidmore (Missouri), dos reporteros descubren nuevos detalles sobre la desaparición hace diez años de Susie Potter y se obsesionan por averiguar la verdad.","Drama
Misterio
Suspense",1h 32min,Below the Fold
20,"5,6",67%,Kris Niklison,Kris Niklison,"In a remote and arid place, three people lead a monotonous life. Every day the man and his peon go to plow the land while the woman feeds the animals and washes the clothes. When an unexpected event breaks that routine, oppression and cruelty will manifest themselves without limits.",Corto,19min,Dogs
